# YYYYMMDD, RMM1, RMM2, Phase, Amplitude,RMM1_filt,RMM2_filt,Phase_filt,Amplitude_filt
19801002,-0.106369736,0.77946672,7,0.786691101,-0.0011545158166666597,0.4784746876666666,7.0,0.47847608
19801003,-0.041763412,0.696768181,7,0.698018682,0.06372881020833335,0.38836487107500006,6.0,0.393558934
19801004,-0.345491512,0.196916759,8,0.397668951,-0.23667883107499998,-0.111309087325,1.0,0.26154652
19801005,-0.660915879,-0.24041726,1,0.703285332,-0.5456740048500001,-0.541738792675,1.0,0.768921999
19801006,-0.706639816,-0.343677233,1,0.78578233,-0.5866213315083334,-0.63803951195,2.0,0.866728911
19801007,-0.836695013,-0.371838349,1,0.915599422,-0.7105036716416667,-0.6608932717916667,1.0,0.970358379
19801008,-0.972821317,-0.549174095,1,1.117127344,-0.8381794242583334,-0.8309462093416666,1.0,1.180261137
19801009,-0.973994313,-0.780244601,1,1.247976987,-0.8319520877583333,-1.0533759527083333,2.0,1.342291017
19801010,-0.718461643,-0.721012374,2,1.017863437,-0.57099023765,-0.98573483835,2.0,1.139167689
19801011,-0.297930648,-0.786638393,2,0.841167422,-0.1493722850916667,-1.0403511402416667,2.0,1.051019778
19801012,-0.160360183,-0.899548274,2,0.913729985,-0.014523083699999967,-1.1427964179833334,2.0,1.142888697
19801013,-0.112192993,-1.143424655,2,1.148915667,0.026564520074999973,-1.3751757618833333,3.0,1.375432314
19801014,-0.043405544,-1.284045857,2,1.284779282,0.08421013862500001,-1.5039569515833333,3.0,1.50631267
19801015,0.189313509,-1.369313854,3,1.382338611,0.3029648447083333,-1.5790636311666666,3.0,1.607864934
19801016,0.659703761,-0.977314054,3,1.179131805,0.7580630885083334,-1.1824128935666667,3.0,1.404549714
19801017,1.222342103,-0.356964882,4,1.273398659,1.3043988756333331,-0.5638881425583333,4.0,1.421065187
19801018,1.748703596,0.008330267,5,1.748723437,1.8139524995666665,-0.20320706224166665,4.0,1.825299093
19801019,1.866538841,0.17748124,5,1.874957822,1.9153233227916666,-0.03937250427499997,4.0,1.915727962
19801020,1.688660883,0.380925028,5,1.731091983,1.7231372722333334,0.156609513575,5.0,1.730239463
19801021,1.520912587,0.557339437,5,1.619815528,1.5437800990166666,0.3232938323833333,5.0,1.577268492
19801022,1.615302363,0.599491318,5,1.722960117,1.6272644895083335,0.356866271675,5.0,1.665936149
19801023,1.724401015,0.85888795,5,1.926459803,1.7255665199666665,0.606024210475,5.0,1.828891785
19801024,1.789221604,1.239191778,5,2.176444396,1.7810513544833333,0.9748641855833333,5.0,2.030395062
19801025,1.616715335,1.1595861,5,1.989574929,1.6000969875500002,0.8852575752583334,5.0,1.828658345
19801026,1.36815964,1.307741716,5,1.892630232,1.3454371387166666,1.0232806350083332,5.0,1.690356279
19801027,1.043049928,1.399814487,6,1.74569005,1.0164015046166668,1.10408023475,6.0,1.500688237
19801028,0.763919834,1.717258605,6,1.879508082,0.7365439291583333,1.4064126849416667,6.0,1.587606248
19801029,0.109188509,1.650487275,6,1.654095032,0.08850606888333334,1.3267964292083332,6.0,1.329745122
19801030,-0.23931274,1.723392241,7,1.739928563,-0.24769170454166667,1.3860552772583334,7.0,1.40801293
19801031,-0.566666027,1.765902584,7,1.854594921,-0.5559990785166666,1.4186355031916666,7.0,1.523699992
19801101,-0.781340008,1.768084707,7,1.933032783,-0.7498067369416667,1.4132783205583335,7.0,1.599864293
19801102,-0.811546224,1.444539441,7,1.65689513,-0.76182703435,1.0864201004,7.0,1.326909592
19801103,-0.879195981,1.438061769,7,1.685528767,-0.814484564875,1.0781221734833333,7.0,1.351196702
19801104,-0.956064165,1.616580234,7,1.878134804,-0.8785367560333334,1.2550037870333333,7.0,1.531946911
