,nino3,nino4,nino34,nino12,indocW,indocE
1982-12-24,27.071451960582436,28.958845294281296,29.23798089949548,27.057242088519562,28.30249358329741,29.23690802984095
1982-12-25,27.104340211587683,28.968974877990725,29.26230091200451,27.028180315360494,28.209955720820805,29.25227048735373
1982-12-26,27.14033773169666,29.009725267906724,29.327008977909454,26.934270294996477,28.13216582470567,29.272060155212845
1982-12-27,27.1818602381216,29.06086816552954,29.403507254999106,26.801590930596163,28.071005540984444,29.286933594459796
1982-12-28,27.231371228845337,29.10211360582304,29.463135348934472,26.656370921370343,28.02838978811679,29.287482805944087
1982-12-29,27.29121339980916,29.11326242738288,29.477276230339267,26.52475176630274,28.006237963381594,29.264303569651865
1982-12-30,27.352266665018234,29.081927479563625,29.430533310952256,26.47639243572335,28.01334345386847,29.232256554064143
1982-12-31,27.40443597178351,29.023275745703824,29.34728602389744,26.531671248774412,28.047892797548506,29.207866254595572
1983-01-01,27.448070866278737,28.955753404629807,29.25377643322062,26.64032490840231,28.09656886965782,29.18197950049045
1983-01-02,27.483394779549428,28.89779634289112,29.1761203066479,26.751958787214242,28.146080249364307,29.14536548533748
1983-01-03,27.510060549463972,28.872904122103243,29.148805365620365,26.816749804243134,28.182809283816287,29.09327392995056
1983-01-04,27.52708355162766,28.882122281190664,29.180323462170957,26.84597665042737,28.193820971404282,29.03767355837304
1983-01-05,27.53519462449306,28.917816197106944,29.26044767843739,26.880514278437666,28.178592009026314,29.004432373318632
1983-01-06,27.53887119694555,28.96570934353036,29.35466919299367,26.91069800066531,28.14463687780632,28.988483091461795
1983-01-07,27.542651514116535,29.011496301740387,29.428505164839365,26.927038789237354,28.099483149288126,28.98490549199757
1983-01-08,27.551031250449924,29.040840577333622,29.44743611854951,26.920113350313184,28.05063435830449,28.988832023544212
1983-01-09,27.572587042232016,29.04115898136444,29.411123564482963,26.912689329001974,28.013561538877745,29.001063356092605
1983-01-10,27.609505856452888,29.016806526206132,29.34712411310619,26.928389715327835,27.993125918972634,29.02321905188774
1983-01-11,27.655725091398264,28.9791412845073,29.262513246032807,26.956578277450408,27.982175990595817,29.051940173667525
